o.,NAME,SUB DISTRICT,DISTRICT,STATE,LEVEL,2001CensusCODE,LAT.,LNG.
1,Pur,Akbarpur,Kanpur Dehat,Uttar Pradesh,,9.33E+14,26.437467,79.92488
2,Pur,Sikanderpur,Ballia,Uttar Pradesh,,9.63E+14,25.965585,84.012977
3,Pur,Orai,Jalaun,Uttar Pradesh,,9.35E+14,25.874554,79.314517
4,Pur,Bawani Khera,Bhiwani,Haryana,Village,6.13E+14,28.922416,76.101776
5,Pur,Khanapur,Belgaum,Karnataka,Village,2.90E+15,15.424289,74.722843
6,Pur,Mundgod,Uttara Kannada,Karnataka,Village,2.91E+15,14.993217,75.037261
7,Pur,Bhind,Bhind,Madhya Pradesh,Village,2.30E+15,26.556053,78.728622
8,Pur,Nowgong,Chhatarpur,Madhya Pradesh,Village,2.31E+15,24.978951,79.783359
9,Pur,Mangrulpir,Washim,Maharashtra,Village,2.71E+15,20.38674,77.192192
10,Pur,Junnar,Pune,Maharashtra,Village,2.73E+15,19.24751,73.719863
11,Pur,Khed,Pune,Maharashtra,Village,2.73E+15,18.830527,74.015357
12,Pur,Purandhar,Pune,Maharashtra,Village,2.73E+15,18.307441,73.970638
13,Pur,Patiala,Patiala,Punjab,Village,3.17E+14,30.26922,76.563919
14,Pur,Kotkasim,Alwar,Rajasthan,Village,8.06E+14,27.968502,76.725811
15,Pur,Sanchore,Jalor,Rajasthan,Village,8.18E+14,24.817796,71.902351
16,Pur,Mangrulpir,Washim,Maharashtra,Village,2.71E+15,20.386744,77.191171
17,Pur,Junnar,Pune,Maharashtra,Village,2.73E+15,19.247707,73.718973
18,Pur,Khed,Pune,Maharashtra,Village,2.73E+15,18.829501,74.015387
19,Pur,Purandhar,Pune,Maharashtra,Village,2.73E+15,18.306312,73.969757
20,Puspur,Lokeswaram,Adilabad,Andhra Pradesh,Village,2.80E+15,19.056139,78.036739
21,Purrur,Amahator,Tuensang,Nagaland,Village,1.30E+15,25.988998,94.775794
22,Puapur,Neturia,Puruliya,West Bengal,Village,1.91E+15,23.649234,86.766326
23,Puripur,Patti,Pratapgarh,Uttar Pradesh,,9.43E+14,25.940493,82.166091
24,Pupipur,Patti,Pratapgarh,Uttar Pradesh,,9.43E+14,25.791883,82.055145
25,Punjpur,Danta,Banas Kantha,Gujarat,Village,2.40E+15,24.169474,72.736248
26,Punjpur,Idar,Sabar Kantha,Gujarat,Village,2.41E+15,23.753526,73.040134
27,Punjpur,Aspur,Dungarpur,Rajasthan,Village,8.27E+14,23.869952,74.039348
28,Pura,Mahur,North Cachar Hills,Assam,Village,1.82E+15,25.155458,93.073181
29,Pure,Lakhnaur,Madhubani,Bihar,Village,1.01E+15,26.191992,86.365619
30,Pura,Darbhanga,Darbhanga,Bihar,Village,1.01E+15,26.158089,85.966228
31,Pura,Shivaji Nagar,Samastipur,Bihar,Village,1.02E+15,25.879283,86.000957
32,Pura,Barh,Patna,Bihar,Village,1.03E+15,25.426791,85.647785
33,pura,Ekangarsarai,Nalanda,Bihar,Village,1.03E+15,25.278031,85.195358
34,Puri,Giriak,Nalanda,Bihar,Village,1.03E+15,25.099723,85.543498
35,Pura,Tikari,Gaya,Bihar,Village,1.04E+15,24.944818,84.89352
36,Pura,Wazirganj,Gaya,Bihar,Village,1.04E+15,24.815974,85.23875
37,Puri,Gharghoda,Raigarh,Chhattisgarh,Village,2.20E+15,22.28338,83.275451
38,Pura,Takhatpur,Bilaspur,Chhattisgarh,Village,2.21E+15,22.196559,81.864231
39,Puri,Dhamtari,Dhamtari,Chhattisgarh,Village,2.21E+15,20.767031,81.638778
40,Puri,Charama,Kanker,Chhattisgarh,Village,2.21E+15,20.439993,81.264698
41,Pura,Harraiya,Basti,Uttar Pradesh,,9.55E+14,26.915766,82.50394
42,Pura,Bilhaur,Kanpur Nagar,Uttar Pradesh,,9.34E+14,26.734469,80.09589
43,Pura,Madhogarh,Jalaun,Uttar Pradesh,,9.35E+14,26.418265,79.29528
44,Pura,Patti,Pratapgarh,Uttar Pradesh,,9.43E+14,25.995423,82.383457
45,Pura,Bansdih,Ballia,Uttar Pradesh,,9.63E+14,25.844772,84.263927
46,Pura,Maudaha,Hamirpur,Uttar Pradesh,,9.38E+14,25.564666,80.004627
47,Pura,Sakaldiha,Chandauli,Uttar Pradesh,,9.66E+14,25.489615,83.186046
48,Pura,Garautha,Jhansi,Uttar Pradesh,,9.36E+14,25.469848,79.36417
49,Pura,Sakaldiha,Chandauli,Uttar Pradesh,,9.66E+14,25.432241,83.192535
50,Pure,Varanasi,Varanasi,Uttar Pradesh,,9.67E+14,25.258817,82.726051
51,Pura,Mau,Chitrakoot,Uttar Pradesh,,9.41E+14,25.250498,81.298789
52,Pura,Jhansi,Jhansi,Uttar Pradesh,,9.36E+14,25.208565,78.48666
53,Pura,Lalitpur,Lalitpur,Uttar Pradesh,,9.37E+14,24.304766,78.354476
54,Pura,Karjan,Vadodara,Gujarat,Village,2.42E+15,21.850966,73.171501
55,Purd,Lahul,Lahul & Spiti,Himachal Pradesh,Village,2.03E+14,32.4846,77.024787
56,Pura,Kushtagi,Koppal,Karnataka,Village,2.91E+15,15.703545,76.466964
57,Pura,Kundgol,Dharwad,Karnataka,Village,2.91E+15,15.281363,75.227958
58,Pura,Haliyal,Uttara Kannada,Karnataka,Village,2.91E+15,15.266218,74.769371
59,Pura,Sirsi,Uttara Kannada,Karnataka,Village,2.91E+15,14.661794,74.901332
60,Pura,Sorab,Shimoga,Karnataka,Village,2.92E+15,14.445692,74.985202
61,Pura,Sorab,Shimoga,Karnataka,Village,2.92E+15,14.302274,75.133171
62,Pura,Sira,Tumkur,Karnataka,Village,2.92E+15,13.676199,76.723731
63,Pura,Kadur,Chikmagalur,Karnataka,Village,2.92E+15,13.632677,76.14302
64,Pura,Gauribidanur,Kolar,Karnataka,Village,2.92E+15,13.530994,77.581031
65,Pura,Chiknayakanhalli,Tumkur,Karnataka,Village,2.92E+15,13.454513,76.540462
66,Pura,Arsikere,Hassan,Karnataka,Village,2.92E+15,13.44174,76.215263
67,Pura,Gubbi,Tumkur,Karnataka,Village,2.92E+15,13.437816,76.788619
68,Pura,Dod Ballapur,Bangalore Rural,Karnataka,Village,2.92E+15,13.434145,77.483959
69,Pura,Sidlaghatta,Kolar,Karnataka,Village,2.92E+15,13.33453,77.826316
70,Pura,Devanahalli,Bangalore Rural,Karnataka,Village,2.92E+15,13.322914,77.779167
71,Pura,Arsikere,Hassan,Karnataka,Village,2.92E+15,13.317612,76.34349
72,Pura,Chikmagalur,Chikmagalur,Karnataka,Village,2.92E+15,13.312804,75.558368
73,Pura,Gubbi,Tumkur,Karnataka,Village,2.92E+15,13.295676,76.857067
74,Pura,Turuvekere,Tumkur,Karnataka,Village,2.92E+15,13.16925,76.724075
75,Pura,Mudigere,Chikmagalur,Karnataka,Village,2.92E+15,13.133126,75.736473
76,Pura,Belur,Hassan,Karnataka,Village,2.92E+15,13.105754,75.920932
77,Pura,Belur,Hassan,Karnataka,Village,2.92E+15,13.046687,75.883743
78,Pura,Channarayapatna,Hassan,Karnataka,Village,2.92E+15,13.033536,76.567417
79,Pura,Malur,Kolar,Karnataka,Village,2.92E+15,12.925565,77.865032
80,Pura,Nagamangala,Mandya,Karnataka,Village,2.92E+15,12.884206,76.651439
81,Pura,Bangarapet,Kolar,Karnataka,Village,2.92E+15,12.841784,78.156227
82,Pura,Kunigal,Tumkur,Karnataka,Village,2.92E+15,12.827279,76.999801
83,Pura,Nagamangala,Mandya,Karnataka,Village,2.92E+15,12.785249,76.66011
84,Pura,Krishnarajpet,Mandya,Karnataka,Village,2.92E+15,12.690355,76.471733
85,Pura,Mandya,Mandya,Karnataka,Village,2.92E+15,12.477722,76.932563
86,Pura,Shrirangapattana,Mandya,Karnataka,Village,2.92E+15,12.374123,76.597991
87,Pura,Heggadadevankote,Mysore,Karnataka,Village,2.93E+15,12.260807,76.450275
88,Pura,Heggadadevankote,Mysore,Karnataka,Village,2.93E+15,12.119042,76.479598
89,Pura,Heggadadevankote,Mysore,Karnataka,Village,2.93E+15,11.993362,76.334701
90,Pura,Mehgaon,Bhind,Madhya Pradesh,Village,2.30E+15,26.318699,78.817516
91,Puri,Bhitarwar,Gwalior,Madhya Pradesh,Village,2.30E+15,25.978357,78.209068
92,Pura,Vijaypur,Sheopur,Madhya Pradesh,Village,2.30E+15,25.943903,76.991645
93,Pura,Pohari,Shivpuri,Madhya Pradesh,Village,2.31E+15,25.411903,77.225543
94,Pura,Laundi,Chhatarpur,Madhya Pradesh,Village,2.31E+15,25.228499,79.944824
95,Pura,Khaniyadhana,Shivpuri,Madhya Pradesh,Village,2.31E+15,25.105661,78.051944
96,Pura,Kolaras,Shivpuri,Madhya Pradesh,Village,2.31E+15,25.041067,77.412502
97,Pura,Bada-Malhera,Chhatarpur,Madhya Pradesh,Village,2.31E+15,24.538957,79.07497
98,Pura,Aron,Guna,Madhya Pradesh,Village,2.31E+15,24.384415,77.323158
99,Pura,Singrauli,Sidhi,Madhya Pradesh,Village,2.32E+15,23.8303,82.208461
100,Puri,Tarana,Ujjain,Madhya Pradesh,Village,2.32E+15,23.469293,76.194683
101,Pura,Mahur,North Cachar Hills,Assam,Village,1.82E+15,25.155458,93.073181
